level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_compact35,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_compact35,site_I0006,29,3,3,3,0.8088578088578089,0.8639451570101725,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
repeat,p3_compact35,site_S0001,29,3,3,3,0.5676172881742502,0.7708243709225219,292.0,13.333333333333334,191.0,13.0,137.66666666666666,N/A,N/A,N/A
repeat,p3_global59,overall,29,3,3,3,0.6584290253854764,0.7959042037517374,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
repeat,p3_global59,same_site,29,3,3,3,0.6310730515415323,0.7871320752121574,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p3_global59,cross_site,29,3,3,3,0.707210896735833,0.8074491489158894,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
repeat,p3_global59,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_global59,site_I0006,29,3,3,3,0.7437562437562436,0.8341795665634675,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
repeat,p3_global59,site_S0001,29,3,3,3,0.6239161439920934,0.7834695005530449,292.0,13.333333333333334,191.0,13.0,137.66666666666666,N/A,N/A,N/A
repeat,p3_stage155,overall,29,3,3,3,0.5302402477816842,0.744976398788058,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
repeat,p3_stage155,same_site,29,3,3,3,0.4873461597949533,0.7288704466280885,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p3_stage155,cross_site,29,3,3,3,0.618423802397228,0.7746774411839664,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_stage155,site_I0006,29,3,3,3,0.6748251748251749,0.8191272298393041,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
repeat,p3_stage155,site_S0001,29,3,3,3,0.47743133006424143,0.7245666213687997,292.0,13.333333333333334,191.0,13.0,137.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,overall,29,3,3,3,0.6808290493495237,0.7169498082054137,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,same_site,29,3,3,3,0.7011135001914948,0.7383134030156816,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,cross_site,29,3,3,3,0.6299683830171635,0.6464919218161328,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0006,29,3,3,3,0.41375291375291373,0.4149196520713549,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
